LTV (%),Adjustment Factor (x)
20,0.3
21,0.305
22,0.31
23,0.315
24,0.31999999999999995
25,0.32499999999999996
26,0.32999999999999996
27,0.33499999999999996
28,0.33999999999999997
29,0.34500000000000003
30,0.35
31,0.35485
32,0.35946666666666666
33,0.36395
34,0.3684
35,0.3729166666666667
36,0.3776
37,0.38255
38,0.38786666666666675
39,0.39365000000000006
40,0.4
41,0.40700000000000003
42,0.41466666666666674
43,0.42300000000000004
44,0.432
45,0.44166666666666665
46,0.452
47,0.463
48,0.4746666666666666
49,0.487
50,0.5
51,0.51424
52,0.5301866666666667
53,0.54768
54,0.5665600000000001
55,0.5866666666666667
56,0.6078399999999999
57,0.6299199999999999
58,0.6527466666666667
59,0.67616
60,0.7
61,0.72434
62,0.7494755555555556
63,0.77558
64,0.8028266666666667
65,0.831388888888889
66,0.86144
67,0.8931533333333334
68,0.9267022222222221
69,0.96226
70,1.0
71,1.0423373287671234
72,1.0906773211567733
73,1.1436786529680365
74,1.2
75,1.2626078132927447
76,1.3313039066463723
77,1.4
78,1.4617283950617284
79,1.5234567901234566
80,1.6
81,1.7102880658436215
82,1.8502057613168725
83,2.0
84,2.158436213991769
85,2.329218106995885
86,2.5
87,2.663299663299663
88,2.8265993265993266
89,3.0
90,3.2008080808080805
91,3.413737373737374
92,3.6
93,3.7494179894179895
94,3.881058201058201
95,4.0
96,4.117460317460317
97,4.2253968253968255
98,4.3
99,4.3432098765432094
100,4.375308641975309
101,4.4
102,4.421085120207927
103,4.438466536712151
104,4.45
105,4.457021434634974
106,4.462495755517826
107,4.466722198641765
108,4.47
109,4.472628905637625
110,4.474802845945131
111,4.476662333433826
112,4.478347880615014
113,4.48
114,4.481626361946331
115,4.483154056637176
116,4.484602726322272
117,4.485992013251363
118,4.487341559674189
119,4.488671007840488
120,4.49
121,4.491325733339516
122,4.492631689805002
123,4.493916938784972
124,4.495180549667937
125,4.496421591842413
126,4.497639134696906
127,4.498832247619931
128,4.5
